Date,New Delhi,Mumbai,Kolkata,Chennai
2024-07-09,,,,
2024-07-10,1.874237622392379,,0.2852671446243771,0.2810126605560358
2024-07-11,1.5546163057227982,,2.476139504496152,
2024-07-12,,,,0.3207802092727726
2024-07-13,,,,
2024-07-14,1.1133548841234508,,,
2024-07-15,,,1.247516651645338,
2024-07-16,1.0302000683047847,,,
2024-07-17,,,,0.6827012674733396
2024-07-18,,,,
2024-07-19,,,,
2024-07-20,1.5143769341866176,,,
2024-07-21,,,,
2024-07-22,,,1.8023343678186174,
2024-07-23,2.233613925912213,,,1.0662321129306886
2024-07-24,2.535222836132565,,,
2024-07-25,1.3957652819636683,,,0.9869473962842663
2024-07-26,,,,
2024-07-27,2.193644487749649,,,2.082702349022239
2024-07-29,0.7994152359431144,,,1.8610911927583473
2024-07-30,,,,1.0139967724851136
2024-07-31,,,,
2024-08-01,,,,
2024-08-02,,,,
2024-08-04,,,,
2024-08-05,,,,
2024-08-06,0.5846463772211336,,,
2024-08-07,,,,
2024-08-08,,,,
2024-08-09,,,,0.3327672893598861
2024-08-10,,,,
2024-08-11,,,,0.3199196138523111
2024-08-12,,,1.3089321138280812,0.44474207576749397
2024-08-13,,,,
2024-08-17,0.6723182737659603,,,
2024-08-18,1.3034034757729387,,,0.22774636011507435
2024-08-19,1.5327317100351137,,,
2024-08-20,,,,
2024-08-21,,,,
2024-08-22,,,,0.5866575692365494
2024-08-23,,,,
2024-08-24,,,,2.1243641152977943
2024-08-25,,,,0.17875150334385342
2024-08-26,0.6564341148668191,,,
2024-08-27,,,,
2024-08-28,,,,
2024-08-29,,,0.20740711232722733,
2024-08-30,0.4574766184681808,,0.11729493121822196,
2024-08-31,0.5261457436872741,,0.46424776261814715,
2024-09-01,0.8023095733053037,,,
2024-09-02,,,,0.8031883953538713
2024-09-03,,,1.1192161456506085,
2024-09-04,,,,
2024-09-05,,,0.5676438103505322,
2024-09-06,,,,
2024-09-07,,,0.9804006762723219,
2024-09-08,,,,
2024-09-09,,,0.6153682174389823,
2024-09-10,0.7713162704460875,,,
2024-09-11,,,,
2024-09-12,,,,
2024-09-13,,,,0.37557135650796875
2024-09-14,,,,
2024-09-15,0.6711423013403514,,,0.237050037559732
2024-09-16,,,,
2024-09-17,0.9190341155563225,0.341341804804261,,0.17699335758715856
2024-09-18,,,0.234877923212036,
2024-09-19,,,,0.4565152980986872
2024-09-20,,,0.5014726400448942,0.3444070914359181
2024-09-22,,,0.27787286006165046,
2024-09-23,0.8601436197185058,,,
2024-09-24,,,,1.0812104192683207
2024-09-25,1.4450871755844685,,,
2024-09-26,,,,
2024-09-27,0.40821124140076015,,,
2024-09-28,2.3372666456349274,,,
2024-09-29,,,0.5633967125022932,
2024-09-30,0.8160528229321126,,,
2024-10-01,,,0.9529764655010798,
2024-10-02,0.2704963515686795,0.9017430459004142,,0.11459019267946195
2024-10-03,,,,0.34383397230756546
2024-10-04,0.21435685063693047,,,
2024-10-06,0.3023201507858801,0.3570734224070337,,
2024-10-07,,,0.5242610636359181,
2024-10-08,0.42201128893485096,0.5713717681949307,0.35020599324187407,
2024-10-10,0.23757382233630214,,0.9450743128600799,
2024-10-11,0.1884959562347721,0.7217102982423592,,
